ell,auth,enc,trapdoor,test
66,0.0025260210037231444,4.2772293090820314e-05,7.905960083007813e-05,0.007037687301635742
67,0.0026358842849731447,5.033016204833984e-05,7.059574127197266e-05,0.0069932699203491214
68,0.0025880813598632814,5.249977111816406e-05,9.331703186035156e-05,0.007001471519470215
69,0.002696371078491211,4.5132637023925784e-05,7.960796356201171e-05,0.00722348690032959
70,0.0025992631912231446,5.3715705871582034e-05,8.118152618408203e-05,0.007007455825805664
71,0.0025349855422973633,4.494190216064453e-05,7.319450378417969e-05,0.007040286064147949
72,0.0025922775268554686,4.503726959228516e-05,8.568763732910156e-05,0.00710601806640625
73,0.002741098403930664,5.8197975158691405e-05,8.368492126464844e-05,0.007059645652770996
74,0.002546954154968262,5.9771537780761716e-05,8.344650268554688e-05,0.007251358032226563
75,0.002787160873413086,7.374286651611328e-05,7.822513580322266e-05,0.007488727569580078
76,0.0026138782501220702,5.8078765869140624e-05,7.867813110351562e-05,0.007238554954528809
77,0.002862977981567383,5.788803100585938e-05,9.119510650634766e-05,0.007572174072265625
78,0.0028275966644287108,6.775856018066406e-05,9.310245513916016e-05,0.00708014965057373
79,0.0026134490966796876,4.935264587402344e-05,7.994174957275391e-05,0.007141542434692383
80,0.0025545597076416016,6.351470947265624e-05,9.136199951171875e-05,0.007094144821166992
81,0.0025889396667480467,4.9591064453125e-05,8.151531219482421e-05,0.007118391990661621
82,0.0026721954345703125,5.481243133544922e-05,8.428096771240234e-05,0.007125163078308105
83,0.0025919437408447265,5.557537078857422e-05,8.547306060791016e-05,0.007568144798278808
84,0.002616691589355469,6.148815155029296e-05,9.546279907226562e-05,0.007391691207885742
85,0.0026427507400512695,5.974769592285156e-05,0.00018265247344970704,0.00767669677734375
86,0.0028731584548950194,5.9437751770019534e-05,0.00010504722595214844,0.007467794418334961
87,0.002665543556213379,5.452632904052734e-05,9.224414825439453e-05,0.007200479507446289
88,0.00253903865814209,5.271434783935547e-05,0.00011155605316162109,0.006955456733703613
89,0.0025663137435913085,6.0391426086425784e-05,9.472370147705078e-05,0.007038092613220215
90,0.002581882476806641,5.6815147399902346e-05,9.467601776123047e-05,0.0071604251861572266
91,0.00256803035736084,5.79833984375e-05,9.684562683105468e-05,0.00697178840637207
92,0.002551722526550293,6.0510635375976565e-05,9.818077087402344e-05,0.0068729639053344725
93,0.002570223808288574,5.3501129150390626e-05,9.961128234863282e-05,0.007049417495727539
94,0.0026845932006835938,6.659030914306641e-05,0.00010197162628173828,0.007019615173339844
95,0.002572035789489746,5.698204040527344e-05,9.808540344238281e-05,0.007018184661865235
96,0.002582883834838867,5.557537078857422e-05,0.0001094818115234375,0.006929254531860352
97,0.0025400876998901366,5.443096160888672e-05,9.48190689086914e-05,0.00690462589263916
98,0.0025197267532348633,5.514621734619141e-05,0.00011460781097412109,0.006911921501159668
99,0.0025444269180297852,5.750656127929687e-05,0.00010838508605957032,0.006958436965942383
100,0.0026335954666137696,6.041526794433594e-05,9.944438934326172e-05,0.006920361518859863
1,0.00267181396484375,2.5844573974609376e-05,1.3089179992675781e-05,0.007978439331054688
2,0.0027280330657958986,2.3674964904785156e-05,1.4495849609375e-05,0.007717728614807129
3,0.0027109622955322266,1.761913299560547e-05,4.2271614074707034e-05,0.007353472709655762
4,0.0027551651000976562,1.7452239990234376e-05,1.685619354248047e-05,0.00773160457611084
5,0.0027857303619384767,1.7714500427246093e-05,1.9550323486328125e-05,0.006954169273376465
6,0.0026149511337280273,2.448558807373047e-05,1.7976760864257814e-05,0.007070064544677734
7,0.0026348352432250975,1.926422119140625e-05,1.8811225891113283e-05,0.007039785385131836
8,0.002598738670349121,1.8596649169921875e-05,2.6035308837890626e-05,0.0070183038711547855
9,0.0025562763214111326,1.8405914306640626e-05,3.926753997802734e-05,0.007009720802307129
10,0.0025323152542114256,2.2530555725097656e-05,2.55584716796875e-05,0.007011866569519043
11,0.002549576759338379,1.8811225891113283e-05,2.224445343017578e-05,0.007063555717468262
12,0.0025515079498291014,1.940727233886719e-05,2.3150444030761717e-05,0.00722355842590332
13,0.0025385379791259765,1.938343048095703e-05,2.624988555908203e-05,0.006941795349121094
14,0.002543139457702637,2.5606155395507814e-05,2.9802322387695312e-05,0.006997585296630859
15,0.0025803089141845704,2.0623207092285156e-05,3.1995773315429685e-05,0.007013940811157226
16,0.0025310754776000977,2.434253692626953e-05,2.658367156982422e-05,0.0070637941360473635
17,0.0026515722274780273,2.3293495178222657e-05,2.7751922607421876e-05,0.007010626792907715
18,0.0025748729705810545,2.2935867309570313e-05,2.9397010803222656e-05,0.006948232650756836
19,0.002570223808288574,2.300739288330078e-05,2.9206275939941406e-05,0.007063913345336914
20,0.0025181293487548826,2.307891845703125e-05,3.275871276855469e-05,0.007086706161499023
21,0.0025676488876342773,2.63214111328125e-05,3.314018249511719e-05,0.007225942611694336
22,0.00255279541015625,3.330707550048828e-05,3.1828880310058594e-05,0.006947064399719238
23,0.002647852897644043,2.827644348144531e-05,3.254413604736328e-05,0.00713956356048584
24,0.0025595903396606447,3.2067298889160156e-05,3.3855438232421875e-05,0.0070522546768188475
25,0.0026165246963500977,2.9277801513671874e-05,3.4332275390625e-05,0.006974506378173828
26,0.002526521682739258,2.574920654296875e-05,4.124641418457031e-05,0.0071979999542236325
27,0.0026291847229003907,3.0422210693359374e-05,4.2557716369628906e-05,0.007029867172241211
28,0.002536368370056152,2.6774406433105468e-05,4.274845123291016e-05,0.00693979263305664
29,0.0026053190231323242,2.8443336486816406e-05,4.391670227050781e-05,0.0070226192474365234
30,0.002561044692993164,2.727508544921875e-05,3.840923309326172e-05,0.0069648027420043945
31,0.0025623559951782225,2.7608871459960937e-05,3.936290740966797e-05,0.006883001327514649
32,0.0025422096252441405,3.0231475830078124e-05,4.267692565917969e-05,0.0068979024887084964
33,0.002552437782287598,3.173351287841797e-05,4.734992980957031e-05,0.007002687454223633
34,0.0025560617446899413,3.0994415283203125e-05,4.508495330810547e-05,0.007002520561218262
35,0.0025751590728759766,3.8051605224609374e-05,4.296302795410156e-05,0.0069042682647705075
36,0.002542257308959961,2.9730796813964844e-05,4.5347213745117185e-05,0.007055544853210449
37,0.0025585651397705077,3.249645233154297e-05,4.456043243408203e-05,0.006921148300170899
38,0.002552700042724609,3.2973289489746096e-05,4.8041343688964844e-05,0.006899595260620117
39,0.002510261535644531,3.712177276611328e-05,5.2642822265625e-05,0.006975650787353516
40,0.0025226116180419923,3.204345703125e-05,5.3834915161132815e-05,0.006984210014343262
41,0.0026216030120849608,3.130435943603516e-05,4.780292510986328e-05,0.006908583641052246
42,0.002578067779541016,3.793239593505859e-05,6.151199340820312e-05,0.006977081298828125
43,0.00253448486328125,3.640651702880859e-05,5.145072937011719e-05,0.007191801071166992
44,0.0026399850845336913,3.311634063720703e-05,5.676746368408203e-05,0.006896352767944336
45,0.002509188652038574,3.452301025390625e-05,7.262229919433594e-05,0.006946778297424317
46,0.002568769454956055,3.550052642822266e-05,5.984306335449219e-05,0.006926345825195313
47,0.0025269269943237306,4.5371055603027346e-05,5.3095817565917966e-05,0.006928801536560059
48,0.0025476455688476563,4.3225288391113284e-05,6.0272216796875e-05,0.0069636344909667965
49,0.002524566650390625,3.483295440673828e-05,6.0629844665527346e-05,0.0069780111312866214
50,0.0025388240814208985,3.77655029296875e-05,5.559921264648437e-05,0.006891274452209472
51,0.0025557994842529295,3.5262107849121095e-05,5.626678466796875e-05,0.006944489479064941
52,0.00252072811126709,3.5810470581054685e-05,5.9652328491210935e-05,0.00695030689239502
53,0.0025918245315551757,3.7789344787597656e-05,6.413459777832031e-05,0.006898713111877441
54,0.002517843246459961,3.6716461181640625e-05,7.755756378173828e-05,0.0069408416748046875
55,0.002592802047729492,4.611015319824219e-05,6.771087646484375e-05,0.007052040100097657
56,0.0025083541870117186,4.8542022705078124e-05,6.139278411865234e-05,0.006951594352722168
57,0.0025276422500610353,3.9911270141601564e-05,6.43014907836914e-05,0.006918907165527344
58,0.00252077579498291,3.848075866699219e-05,8.106231689453125e-05,0.0068664073944091795
59,0.002547550201416016,4.241466522216797e-05,6.73532485961914e-05,0.003739142417907715
60,0.002558183670043945,3.983974456787109e-05,7.13348388671875e-05,0.0072162866592407225
61,0.0025957584381103515,4.1031837463378905e-05,7.855892181396484e-05,0.007045626640319824
62,0.0026228904724121095,4.08172607421875e-05,6.566047668457031e-05,0.0070248603820800785
63,0.0025217533111572266,4.0602684020996096e-05,7.28607177734375e-05,0.006900715827941895
64,0.0025264978408813476,4.730224609375e-05,8.015632629394531e-05,0.006972861289978027
65,0.002556777000427246,4.312992095947266e-05,8.618831634521484e-05,0.006900715827941895
66,0.002597403526306152,5.352497100830078e-05,7.004737854003907e-05,0.0070313215255737305
67,0.002606201171875,4.532337188720703e-05,8.111000061035156e-05,0.006958580017089844
68,0.0025024652481079102,7.929801940917969e-05,0.00010881423950195312,0.007082939147949219
69,0.002538132667541504,4.527568817138672e-05,7.419586181640625e-05,0.007070708274841309
70,0.0025267839431762696,4.360675811767578e-05,7.240772247314453e-05,0.007002353668212891
71,0.002604103088378906,6.1798095703125e-05,8.015632629394531e-05,0.007137489318847656
72,0.002530622482299805,4.4846534729003905e-05,7.445812225341797e-05,0.007095432281494141
73,0.002601814270019531,4.880428314208984e-05,7.505416870117188e-05,0.006939744949340821
74,0.0025917768478393556,6.992816925048828e-05,7.791519165039063e-05,0.007050728797912598
75,0.002529001235961914,4.589557647705078e-05,7.66754150390625e-05,0.007093501091003418
76,0.0025673151016235352,5.7196617126464845e-05,7.76052474975586e-05,0.007061505317687988
77,0.0026763916015625,5.211830139160156e-05,0.00011868476867675782,0.00693519115447998
78,0.0027802228927612306,5.621910095214844e-05,9.055137634277344e-05,0.0070266246795654295
79,0.0027225255966186524,6.117820739746094e-05,9.970664978027343e-05,0.007298421859741211
80,0.0027143478393554686,5.9938430786132814e-05,9.274482727050781e-05,0.007502222061157226
81,0.002838897705078125,5.559921264648437e-05,0.00012404918670654296,0.007627058029174805
82,0.002915215492248535,5.2595138549804686e-05,0.00014727115631103517,0.007307672500610351
83,0.0026450872421264647,6.40869140625e-05,8.931159973144532e-05,0.007061457633972168
